name,id
KLONGTEI_NB_1_3_XSXX,25047974#1_3
KLONGTEI_NB_2_0_LSXX,25047974#0_0
KLONGTEI_NB_2_1_XSXX,25047974#0_1
KLONGTEI_NB_2_2_XSXX,25047974#0_2
KLONGTEI_NB_2_3_XSXX,25047974#0_3
KLONGTEI_WB_0_0_LSXX,481971011#1_0
KLONGTEI_WB_0_1_XSXX,481971011#1_1
KLONGTEI_WB_0_2_XSXX,481971011#1_2
KLONGTEI_WB_0_3_XSXX,481971011#1_3
KLONGTEI_WB_0_4_XSXX,481971011#1_4
KLONGTEI_WB_1_0_XSXX,481971011#1-AddedOnRampEdge_0
KLONGTEI_WB_1_1_XSXX,481971011#1-AddedOnRampEdge_1
KLONGTEI_WB_1_2_XSXX,481971011#1-AddedOnRampEdge_2
KLONGTEI_WB_1_3_XSXX,481971011#1-AddedOnRampEdge_3
KLONGTEI_WB_1_4_XSXX,481971011#1-AddedOnRampEdge_4
KLONGTEI_WB_1_5_XSXX,481971011#1-AddedOnRampEdge_5
KLONGTEI_WB_2_0_XSXX,481971011#0_0
KLONGTEI_WB_2_1_XSXX,481971011#0_1
KLONGTEI_WB_2_2_XSXX,481971011#0_2
KLONGTEI_WB_2_3_XSXX,481971011#0_3
KLONGTEI_WB_2_4_XSXX,481971011#0_4
NARANONG_EB_0_0_LSXX,25053626_0
NARANONG_EB_0_1_XSRT,25053626_1
NARANONG_EB_1_0_XSXX,824116559#0_0
NARANONG_EB_1_1_XSXX,824116559#0_1
NARANONG_EB_2_0_XSXX,824116558_0
NARANONG_EB_2_1_XSXX,824116558_1
NARANONG_EB_2_2_XSXX,824116558_2
NARANONG_EB_3_0_XSXX,25047032#1_0
NARANONG_EB_3_1_XSRX,25047032#1_1
NARANONG_EB_4_0_LSXX,756119203_0
NARANONG_EB_4_1_XSXX,756119203_1
NARANONG_EB_5_0_LSXX,157373209#1_0
NARANONG_EB_5_1_XSRX,157373209#1_1
NARANONG_NB_0_0_XSXX,824116551#0_0
NARANONG_NB_0_1_XSRX,824116551#0_1
NARANONG_NB_1_0_LSXX,157063979_0
NARANONG_NB_1_1_XSXX,157063979_1
NARANONG_NB_1_2_XSXX,157063979_2
NARANONG_NB_2_0_XSXX,-552779154#4_0
NARANONG_NB_2_1_XSXX,-552779154#4_1
NARANONG_SB_0_0_LSXX,824116544_0
NARANONG_SB_0_1_XSXX,824116544_1
NARANONG_SB_0_2_XSRX,824116544_2
NARANONG_SB_1_0_LSXX,459492916#0-AddedOffRampEdge_0
NARANONG_SB_1_1_XSXX,459492916#0-AddedOffRampEdge_1
NARANONG_SB_1_2_XSXX,459492916#0-AddedOffRampEdge_2
NARANONG_SB_1_3_XSXX,459492916#0-AddedOffRampEdge_3
NARANONG_SB_2_0_XSXX,459492916#0_0
NARANONG_SB_2_1_XSXX,459492916#0_1
NARANONG_SB_2_2_XSXX,459492916#0_2
NARANONG_SB_2_3_XSXX,459492916#0_3
NARANONG_SW_0_0_LSXX,824116550#0_0
NARANONG_SW_0_1_XSRX,824116550#0_1
NARANONG_SW_1_0_XSXX,824116549#0_0
NARANONG_SW_1_1_XSXX,824116549#0_1
NARANONG_SW_1_2_XSXX,824116549#0_2
NARANONG_SW_1_3_XSXX,824116549#0_3
NARANONG_SW_2_0_XSXX,9168676_0
NARANONG_SW_2_1_XSXX,9168676_1
NARANONG_SW_2_2_XSXX,9168676_2
NARANONG_WB_0_0_LSXX,338595767_0
NARANONG_WB_0_1_XSXX,338595767_1
NARANONG_WB_0_2_XSXX,338595767_2
NARANONG_WB_0_3_XSRT,338595767_3
NARANONG_WB_1_0_XSXX,482384850#2_0
NARANONG_WB_1_1_XSXX,482384850#2_1
NARANONG_WB_1_2_XSXX,482384850#2_2
NARANONG_WB_2_0_LSXX,482384850#1_0
NARANONG_WB_2_1_XSXX,482384850#1_1
NARANONG_WB_2_2_XSXX,482384850#1_2
NARANONG_WB_3_0_XSXX,482384850#1-AddedOnRampEdge_0
NARANONG_WB_3_1_XSXX,482384850#1-AddedOnRampEdge_1
NARANONG_WB_3_2_XSXX,482384850#1-AddedOnRampEdge_2
NARANONG_WB_3_3_XSXX,482384850#1-AddedOnRampEdge_3
NARANONG_WB_4_0_XSXX,482384850#0_0
NARANONG_WB_4_1_XSXX,482384850#0_1
NARANONG_WB_4_2_XSXX,482384850#0_2
SUNLAKAKHON_EB_0_0_LSXX,824116555#3_0
SUNLAKAKHON_EB_0_1_XSXX,824116555#3_1
SUNLAKAKHON_EB_0_2_XSRT,824116555#3_2
SUNLAKAKHON_EB_1_0_XSXX,824116555#0-AddedOffRampEdge_0
SUNLAKAKHON_EB_1_1_XSXX,824116555#0-AddedOffRampEdge_1
SUNLAKAKHON_EB_1_2_XSXX,824116555#0-AddedOffRampEdge_2
SUNLAKAKHON_EB_1_3_XSRX,824116555#0-AddedOffRampEdge_3
SUNLAKAKHON_EB_2_0_XSXX,824116555#0_0
SUNLAKAKHON_EB_2_1_XSXX,824116555#0_1
SUNLAKAKHON_EB_2_2_XSXX,824116555#0_2
SUNLAKAKHON_EB_3_0_XSXX,824116554_0
SUNLAKAKHON_EB_3_1_XSXX,824116554_1
SUNLAKAKHON_EB_4_0_XSXX,185563494_0
SUNLAKAKHON_NB_0_0_LSXX,153225687#13_0
SUNLAKAKHON_NB_0_1_XSXX,153225687#13_1
SUNLAKAKHON_NB_0_2_XSRX,153225687#13_2
SUNLAKAKHON_NB_1_0_LSXX,153225687#10-AddedOffRampEdge_0
SUNLAKAKHON_NB_1_1_XSXX,153225687#10-AddedOffRampEdge_1
SUNLAKAKHON_NB_1_2_XSXX,153225687#10-AddedOffRampEdge_2
SUNLAKAKHON_NB_2_0_XSXX,153225687#10_0
SUNLAKAKHON_NB_2_1_XSXX,153225687#10_1
SUNLAKAKHON_NB_2_2_XSXX,153225687#10_2
SUNLAKAKHON_NB_3_0_LSXX,153225687#9-AddedOnRampEdge_0
SUNLAKAKHON_NB_3_1_XSXX,153225687#9-AddedOnRampEdge_1
SUNLAKAKHON_NB_3_2_XSXX,153225687#9-AddedOnRampEdge_2
